observations,method,seed,initialization,target_backend,tv_percent,js_bits,cpu_with_setup_seconds,cpu_after_setup_seconds,jax_setup_seconds,fit_seconds,target_evaluations,gradient_calls,hessian_calls,mode1_mass,fraction_chains_switching
4,SARLA2 default + IMH,3,16 random seeds optimized with JAX Gauss-Newton,JAX,19.172715236841608,0.10419398236132764,2.3895703309990495,1.4828176949995395,0.90675263599951,0.07085992399879615,131077,0,2,0.5064887152777777,0.96875
4,SARLA2 tighter audit + IMH,3,16 random seeds optimized with JAX Gauss-Newton,JAX,5.931339748017801,0.01706178176444759,2.5931513229988923,1.6863986869993823,0.90675263599951,0.07085992399879615,131096,134,35,0.4779994979919679,1.0
4,SARLA2 default + IMH,17,16 random seeds optimized with JAX Gauss-Newton,JAX,17.934239735947425,0.08587774044368267,2.407534340998609,1.500781704999099,0.90675263599951,0.07085992399879615,131099,9,5,0.5214507004310345,1.0
4,SARLA2 tighter audit + IMH,17,16 random seeds optimized with JAX Gauss-Newton,JAX,3.2420072371065394,0.0023392573869488813,2.61294852500032,1.70619588900081,0.90675263599951,0.07085992399879615,131093,172,23,0.49701305220883535,1.0
4,SARLA2 default + IMH,41,16 random seeds optimized with JAX Gauss-Newton,JAX,18.960248419243765,0.08981867172416673,2.36829484899863,1.4615422129991202,0.90675263599951,0.07085992399879615,131078,0,2,0.4844509548611111,1.0
4,SARLA2 tighter audit + IMH,41,16 random seeds optimized with JAX Gauss-Newton,JAX,3.2552600798331457,0.0031072688279935104,2.56319964299837,1.6564470069988602,0.90675263599951,0.07085992399879615,131090,219,27,0.4943855506430868,1.0
4,Local random-walk MH,3,64 independent uniform prior draws,NumPy,6.621117972623142,0.006520172141665065,0.09593771300205844,0.09593771300205844,0.0,0.0,131136,0,0,0.53125,0.0
4,DE ensemble MCMC,3,64 independent uniform prior draws,NumPy,9.190041045929757,0.015222775502961649,1.1030541479995009,1.1030541479995009,0.0,0.0,131136,0,0,0.5027974446614584,1.0
4,Local random-walk MH,17,64 independent uniform prior draws,NumPy,9.939853833374478,0.012335985327271527,0.09974167399923317,0.09974167399923317,0.0,0.0,131136,0,0,0.421875,0.0
4,DE ensemble MCMC,17,64 independent uniform prior draws,NumPy,6.9923998531677745,0.01096251535898919,1.1310083210009907,1.1310083210009907,0.0,0.0,131136,0,0,0.512939453125,1.0
4,Local random-walk MH,41,64 independent uniform prior draws,NumPy,11.588901881817632,0.014237724159742823,0.09405065300234128,0.09405065300234128,0.0,0.0,131136,0,0,0.578125,0.0
4,DE ensemble MCMC,41,64 independent uniform prior draws,NumPy,8.871966724421915,0.013444866999976518,1.085123372002272,1.085123372002272,0.0,0.0,131136,0,0,0.5182698567708334,1.0
2,SARLA2 default + IMH,3,16 random seeds optimized with JAX Gauss-Newton,JAX,15.866503440203164,0.061731011391439404,2.8004322039996623,2.0391048370001954,0.7613273669994669,0.28255679700123437,131164,61,19,0.4979325380914194,1.0
2,SARLA2 tighter audit + IMH,3,16 random seeds optimized with JAX Gauss-Newton,JAX,12.179998266725617,0.025436832068063495,3.007714635001321,2.246387268001854,0.7613273669994669,0.28255679700123437,131124,155,52,0.5005777733118971,1.0
2,SARLA2 default + IMH,17,16 random seeds optimized with JAX Gauss-Newton,JAX,30.08472437467804,0.18757173001751876,2.546610609002528,1.7852832420030609,0.7613273669994669,0.28255679700123437,131169,62,15,0.4789620088211708,0.921875
2,SARLA2 tighter audit + IMH,17,16 random seeds optimized with JAX Gauss-Newton,JAX,14.533064824048944,0.051156709379860416,2.751560458000313,1.9902330910008459,0.7613273669994669,0.28255679700123437,131116,185,38,0.5220056270096463,1.0
2,SARLA2 default + IMH,41,16 random seeds optimized with JAX Gauss-Newton,JAX,15.049757327939203,0.048304771605362846,2.562090340001305,1.800762973001838,0.7613273669994669,0.28255679700123437,131136,98,15,0.49687258500772796,0.984375
2,SARLA2 tighter audit + IMH,41,16 random seeds optimized with JAX Gauss-Newton,JAX,13.782913649649261,0.041375264881468775,2.778004323001369,2.016676956001902,0.7613273669994669,0.28255679700123437,131093,173,43,0.4805943528938907,1.0
2,Local random-walk MH,3,64 independent uniform prior draws,NumPy,9.520257560032228,0.01288065482496564,0.09071284599849605,0.09071284599849605,0.0,0.0,131136,0,0,0.48297119140625,0.953125
2,DE ensemble MCMC,3,64 independent uniform prior draws,NumPy,16.829829641882466,0.04456440240790044,1.057512390998454,1.057512390998454,0.0,0.0,131136,0,0,0.4853719075520833,1.0
2,Local random-walk MH,17,64 independent uniform prior draws,NumPy,9.578159365905014,0.01292064181961242,0.09055915600038134,0.09055915600038134,0.0,0.0,131136,0,0,0.4754638671875,0.90625
2,DE ensemble MCMC,17,64 independent uniform prior draws,NumPy,16.832718464596308,0.044631564810714196,1.0866671379990294,1.0866671379990294,0.0,0.0,131136,0,0,0.487274169921875,1.0
2,Local random-walk MH,41,64 independent uniform prior draws,NumPy,12.256533927716514,0.019914741897662427,0.09066333200098597,0.09066333200098597,0.0,0.0,131136,0,0,0.5455525716145834,0.9375
2,DE ensemble MCMC,41,64 independent uniform prior draws,NumPy,16.66636407393413,0.04251346257262829,1.1298728770016169,1.1298728770016169,0.0,0.0,131136,0,0,0.4896138509114583,1.0
